x;instance;value
0;500_5_30_8;100.03
0;500_5_30_8;100.03
0;500_5_30_8;99.89
0;500_5_30_8;99.81
0;500_5_30_8;99.78
0;500_5_30_8;99.78
0;500_5_30_8;99.76
0;500_5_30_8;99.51
0;500_5_30_8;99.97
0;500_5_30_8;99.97
0;500_5_30_8;99.97
0;500_5_30_8;99.97
0;500_5_30_8;99.94
0;500_5_30_8;99.94
0;500_5_30_8;100.05
0;500_5_30_8;100.05
1;500_5_30_10;99.75
1;500_5_30_10;99.75
1;500_5_30_10;99.63
1;500_5_30_10;99.63
1;500_5_30_10;99.52
1;500_5_30_10;99.43
1;500_5_30_10;99.54
1;500_5_30_10;99.5
1;500_5_30_10;99.97
1;500_5_30_10;99.78
1;500_5_30_10;99.72
1;500_5_30_10;99.72
1;500_5_30_10;99.65
1;500_5_30_10;99.65
1;500_5_30_10;99.9
1;500_5_30_10;99.9
2;500_5_30_12;99.75
2;500_5_30_12;99.75
2;500_5_30_12;99.66
2;500_5_30_12;99.62
2;500_5_30_12;99.29
2;500_5_30_12;99.29
2;500_5_30_12;99.75
2;500_5_30_12;99.49
2;500_5_30_12;99.74
2;500_5_30_12;99.74
2;500_5_30_12;99.74
2;500_5_30_12;99.74
2;500_5_30_12;99.71
2;500_5_30_12;99.66
2;500_5_30_12;99.8
2;500_5_30_12;99.65
3;2000_8_30_8;99.53
3;2000_8_30_8;99.53
3;2000_8_30_8;99.53
3;2000_8_30_8;99.51
3;2000_8_30_8;99.5
3;2000_8_30_8;99.5
3;2000_8_30_8;99.45
3;2000_8_30_8;99.4
3;2000_8_30_8;99.93
3;2000_8_30_8;99.9
3;2000_8_30_8;99.9
3;2000_8_30_8;99.9
3;2000_8_30_8;99.9
3;2000_8_30_8;99.9
3;2000_8_30_8;99.84
3;2000_8_30_8;99.84
4;2000_8_30_10;99.88
4;2000_8_30_10;99.88
4;2000_8_30_10;99.76
4;2000_8_30_10;99.4
4;2000_8_30_10;99.94
4;2000_8_30_10;99.92
4;2000_8_30_10;99.92
4;2000_8_30_10;99.99
5;2000_8_30_12;100.1
5;2000_8_30_12;99.99
5;2000_8_30_12;99.99
5;2000_8_30_12;99.92
5;2000_8_30_12;99.92
5;2000_8_30_12;99.56
5;2000_8_30_12;100.02
5;2000_8_30_12;99.51
5;2000_8_30_12;100.14
5;2000_8_30_12;100.14
5;2000_8_30_12;100.12
5;2000_8_30_12;100.12
5;2000_8_30_12;99.99
5;2000_8_30_12;99.98
5;2000_8_30_12;100.12
5;2000_8_30_12;99.98
6;7500_15_30_8;99.8
6;7500_15_30_8;99.77
6;7500_15_30_8;99.73
6;7500_15_30_8;99.69
6;7500_15_30_8;99.68
6;7500_15_30_8;99.68
6;7500_15_30_8;99.93
6;7500_15_30_8;99.76
6;7500_15_30_8;99.98
6;7500_15_30_8;99.92
6;7500_15_30_8;99.91
6;7500_15_30_8;99.89
6;7500_15_30_8;99.89
6;7500_15_30_8;99.79
6;7500_15_30_8;99.94
6;7500_15_30_8;99.9
7;7500_15_30_10;99.83
7;7500_15_30_10;99.8
7;7500_15_30_10;99.76
7;7500_15_30_10;99.69
7;7500_15_30_10;99.63
7;7500_15_30_10;99.54
7;7500_15_30_10;99.23
7;7500_15_30_10;100.09
7;7500_15_30_10;100.05
7;7500_15_30_10;99.86
7;7500_15_30_10;99.8
7;7500_15_30_10;100.1
8;7500_15_30_12;99.72
8;7500_15_30_12;99.71
8;7500_15_30_12;99.7
8;7500_15_30_12;99.64
8;7500_15_30_12;99.57
8;7500_15_30_12;99.39
8;7500_15_30_12;99.76
8;7500_15_30_12;99.69
8;7500_15_30_12;99.9
8;7500_15_30_12;99.9
8;7500_15_30_12;99.89
8;7500_15_30_12;99.78
8;7500_15_30_12;99.73
8;7500_15_30_12;99.71
8;7500_15_30_12;99.98
8;7500_15_30_12;99.93
